OPDIV,FAIN,"Obligation Document
Numbers",Recipient Name,Recipient State,Country,"Action Date (Date
Terminated)",Total Amount Obligated,Total Amount Expended,"Total Payment Amount (As
of Termination)","Unliquidated Obligations
(As of Termination)",Award Title,Presidential Action,"For Cause (Put
X if applicable)",page
NIH,F31NS136029,FNS136029A,"CINCINNATI CHILDRENS
HOSP MED CTR",OHIO,UNITED STATES,7/9/2025,-,-,-,-,"Regulation of Epileptogenesis by Hippocampal
Somatostatin Interneurons in a Model of
mTORopathies",Bilateral Termination,-,34
NIH,F32AA029957,FAA029957A,Columbia University,NEW YORK,UNITED STATES,3/12/2025,-,-,-,-,"Understanding the individual and combined impact of
childhood sexual abuse and minority stress on
hazardous drinking among sexual minority women: Is
emotion dysregulation a key factor?",Departmental Authority,-,34
NIH,F32AA032196,FAA032196A,"RESEARCH FOUNDATION
OF STATE UNIV OF NEW
YORK (SUNY)",New York,UNITED STATES,2/6/2026,-,-,-,-,"Sex-dependent effects of adolescent alcohol on
neural regulation of Poly I:C-induced fever",Bilateral Termination,-,34
NIH,F32AG084196,FAG084196A,UNIVERSITY OF IOWA,IOWA,UNITED STATES,5/28/2025,-,-,-,-,"Reversal of Tau Pathology to Rescue Serotonergic
Function in Early Alzheimerâ€™s Disease",Departmental Authority,-,34
NIH,F32AG085961,FAG085961A,"J. DAVID GLADSTONE
INSTITUTES",CALIFORNIA,UNITED STATES,5/28/2025,-,-,-,-,"Investigation into transcriptomic control of dentate
granule cell maturation and hyperexcitability in the
apoE4 Alzheimers Disease model",Departmental Authority,-,34
NIH,F32AG090054,FAG090054A,EMORY UNIVERSITY,GEORGIA,UNITED STATES,5/28/2025,-,-,-,-,"A human organoid approach to understanding the
role of the locus coeruleus in Alzheimers disease",Departmental Authority,-,34
NIH,F32AI181339,FAI181339A,"MEDICAL UNIVERSITY OF
SOUTH CAROLINA THE",South Carolina,UNITED STATES,3/10/2026,-,-,-,-,"Genetic and Molecular Mechanisms of hypermobile
Ehlers Danlos Syndrome",Bilateral Termination,-,34
NIH,F32AI181510,FAI181510A,"WHITEHEAD INSTITUTE FOR
BIOMEDICAL RESEARCH",Massachusetts,UNITED STATES,1/15/2026,-,-,-,-,"Investigating differentiation, maintenance, and
reactivation of the Toxoplasma chronic stage",Bilateral Termination,-,34
NIH,F32CA271470,FCA271470A,"JOHNS HOPKINS
UNIVERSITY",Maryland,UNITED STATES,4/9/2025,-,-,-,-,"Structural modeling of neoantigen presentation for
rational design of heteroclitic neoepitope vaccines",Bilateral Termination,-,34
NIH,F32CA284834,FCA284834A,BROAD INSTITUTE INC,Massachusetts,UNITED STATES,2/12/2026,-,-,-,-,"Identifying genetic vulnerabilities in KIAA1549-BRAF
mutant pediatric low-grade gliomas",Bilateral Termination,-,34
NIH,F32DA060612,FDA060612A,"GEORGE WASHINGTON
UNIVERSITY",Virginia,UNITED STATES,3/3/2026,-,-,-,-,"Socio-structural determinants of cannabis and
derived psychoactive cannabis product use and
consequences among young adults",Bilateral Termination,-,34
NIH,F32DC023140,FDC023140A,PURDUE UNIVERSITY,Indiana,UNITED STATES,2/5/2026,-,-,-,-,"Predicting Phonological Outcomes in Late Talkers:
the Role of Speech Perception and Production Skills",Bilateral Termination,-,34
NIH,F32DK136301,FDK136301A,"SCRIPPS RESEARCH
INSTITUTE",California,UNITED STATES,2/26/2026,-,-,-,-,"Discovery of metabolic pathways using phenotypic
screening and chemical proteomics",Bilateral Termination,-,34
NIH,F32DK141236,FDK141236A,"Regents of the University of
Michigan",Michigan,UNITED STATES,2/26/2026,-,-,-,-,"The contribution of mitochondrial DNA damage to
diabetes-related beta-cell failure",Bilateral Termination,-,35
NIH,F32ES034257,FES034257A,"UNIVERSITY OF TEXAS AT
AUSTIN",Texas,UNITED STATES,12/8/2025,-,-,-,-,"Endocrine Disruption of the Developing Dopamine
System",Bilateral Termination,-,35
NIH,F32ES034982,FES034982A,"UNIVERSITY OF
PITTSBURGH, THE",Pennsylvania,UNITED STATES,1/30/2026,-,-,-,-,"DNA repair pathway coordination during damage
processing",Bilateral Termination,-,35
NIH,F32ES035271,FES035271A,"UNIVERSITY OF NORTH
CAROLINA AT CHAPEL HILL",North Carolina,UNITED STATES,12/8/2025,-,-,-,-,"Evolution and underlying genetics of thermal
physiology and behavior in Drosophila",Bilateral Termination,-,35
NIH,F32EY033654,FEY033654A,Columbia University,NEW YORK,UNITED STATES,3/12/2025,-,-,-,-,"Fast and Flexible Conjunction Coding in Biological
and Artificial Vision",Departmental Authority,-,35
NIH,F32EY035134,FEY035134A,"UNIVERSITY OF
PITTSBURGH, THE",Pennsylvania,UNITED STATES,3/24/2026,-,-,-,-,"The cortical and subcortical control of coordinated
eye movements",Termination for Cause,X,35
NIH,F32GM146423,FGM146423A,UNIVERSITY OF CHICAGO,Illinois,UNITED STATES,9/15/2025,-,-,-,-,"Assessing the generality of sexual conflict in new
gene evolution in Drosophila",Termination for Cause,X,35
NIH,F32GM150243,FGM150243A,"UNIVERSITY OF
CALIFORNIA, SAN
FRANCISCO",CALIFORNIA,UNITED STATES,6/17/2025,-,-,-,-,"Uncovering the molecular mechanism of interphase
nuclear pore complex assembly with spatiotemporal
integrative modeling",Bilateral Termination,-,35
NIH,F32GM153018,FGM153018A,WASHINGTON UNIVERSITY,Missouri,UNITED STATES,2/17/2026,-,-,-,-,"CONTROL OF RB TUMOR SUPPRESSOR
FUNCTIONS THROUGH POST-TRANSLATIONAL
MODIFICATIONS",Bilateral Termination,-,35
NIH,F32GM153032,FGM153032A,"Trustees Of Columbia
University In The City Of New
York",New York,UNITED STATES,12/23/2025,-,-,-,-,"Photocatalytic Generation of Reactive Probes for
Bioconjugation and Proximity Labeling",Bilateral Termination,-,35
NIH,F32GM153130,FGM153130B,"UNIVERSITY OF
CALIFORNIA, LOS ANGELES",California,UNITED STATES,3/12/2026,-,-,-,-,"Neural and molecular control of subordinate social
status in a cichlid fish",Bilateral Termination,-,35
NIH,F32GM154455,FGM154455A,VANDERBILT UNIVERSITY,Tennessee,UNITED STATES,2/18/2026,-,-,-,-,"Analysis of oxidative stress through deep atomic
embeddings",Bilateral Termination,-,35
NIH,F32GM161077,FGM161077A,"UNIVERSITY OF CALIFORNIA
BERKELEY",CALIFORNIA,UNITED STATES,1/20/2026,$1.00,-,-,$1.00,"Photoactivation of Supramolecular Hosts: Novel
Chemical Reactivity Through Photocatalytic
Formation of High-Energy Intermediates in Host
Microenvironments",Bilateral Termination,-,35
NIH,F32HD121257,FHD121257A,"COLORADO STATE
UNIVERSITY",Colorado,UNITED STATES,4/13/2026,-,-,-,-,"Maternal Emotion Profiles and Affective Coregulation
Influencing Infant Socioemotional Development",Bilateral Termination,-,35
NIH,F32HG012889,FHG012889A,"HARVARD UNIVERSITY,
SCHOOL OF PUBLIC HEALTH",Massachusetts,UNITED STATES,12/23/2025,-,-,-,-,"Fine-mapping causal tissues at disease-associated
loci to infer disease subtypes",Bilateral Termination,-,35
NIH,F32HL176055,FHL176055A,TUFTS MEDICAL CENTER,Massachusetts,UNITED STATES,1/9/2026,-,-,-,-$57.68,"The Role of Smooth Muscle Cell Estrogen Receptor
Alpha in Aging-Associated Arterial Stiffness",Departmental Authority,-,35
NIH,F32HL176075,FHL176075A,"THE LELAND STANFORD
JUNIOR UNIVERSITY",California,UNITED STATES,12/8/2025,-,-,-,-,"Mineralocorticoid receptor antagonist use and
responsiveness in hypertension",Bilateral Termination,-,35
NIH,F32HL179891,FHL179891A,RHODE ISLAND HOSPITAL,Rhode Island,UNITED STATES,3/30/2026,-,-,-,-,"Multimorbidity Phenotypes and Effects on
Endothelium in Critically Ill Patients with Sepsis and
Sepsis-induced ARDS",Bilateral Termination,-,35
NIH,F32OD037666,FOD037666A,"UNIVERSITY OF
CALIFORNIA, DAVIS",California,UNITED STATES,9/16/2025,-,-,-,-,"Prenatal Exposure to Endocrine Disrupting
Chemicals and Child Neurodevelopmental Disorders:
Mediation by Cytokines and DNA Methylation",Bilateral Termination,-,35
NIH,F99AG088695,FAG088695A,Duke University,North Carolina,UNITED STATES,3/10/2026,-,-,-,-,"Assessing the Impact of Patient-Provider Interactions
on the Cardiovascular and Cognitive Health of Aging
Adults",Bilateral Termination,-,35
NIH,F99DK143562,FDK143562A,"GEORGIA TECH RESEARCH
CORPORATION",Georgia,UNITED STATES,2/5/2026,-,-,-,-,"Enabling Novel Strategies for the Clinical Care of
Urinary Tract Infection via Microbial Engineering",Departmental Authority,-,35
NIH,G13LM013533,GLM013533A,"NORTHEASTERN
UNIVERSITY",MASSACHUSETTS,UNITED STATES,3/21/2025,-,-,-,$623.63,"The Use of Diversity: Managing Race and
Representation in Law Politics and the Biosciences",Departmental Authority,-,35
NIH,K00AG068527,KAG068527B,"JOHNS HOPKINS
UNIVERSITY",Maryland,UNITED STATES,2/11/2026,-,-,-,-,"Integrative Analysis of the Aging Peritoneum in
Metastatic Receptivity",Bilateral Termination,-,35
NIH,K00AG073570,KAG073570C,"COLUMBIA UNIVERSITY,
SCHOOL OF ARTS &
SCIENCES",New York,UNITED STATES,3/3/2026,-,-,-,-,"Evaluating the role of cytomegalovirus and age on
lung immune homeostaasis and response to
respiratory infections",Bilateral Termination,-,35
NIH,K00AG078230,FNS115219B,"DANA-FARBER CANCER
INSTITUTE",Massachusetts,UNITED STATES,5/29/2025,-,-,-,-,"Effects of Extracellular Mechanics on
Mechanosensory and Central Neuron Function",Departmental Authority,-,35
NIH,K00AG084261,KNS124186B,"Trustees Of Columbia
University In The City Of New
York",New York,UNITED STATES,5/28/2025,-,-,-,-,"Deciphering the Role of Noradrenergic Receptors
during Neuromodulation in Alzheimer's Disease",Departmental Authority,-,35
NIH,K00AG089313,KNS124189B,"BRIGHAM & WOMENS
HOSPITAL INC",MASSACHUSETTS,UNITED STATES,5/27/2025,-,-,-,-,"A Biopsychosocial Approach to Understanding the
Role of White Matter in Aging",Departmental Authority,-,35
NIH,K00AG090127,KNS125818B,"SPAULDING
REHABILITATION HOSPITAL",Massachusetts,UNITED STATES,5/28/2025,-,-,-,-,"Neurovascular Contributions to Cognitive and Mental
health in Older Adult Critical Care Survivors",Departmental Authority,-,36
NIH,K00CA253756,KCA253756B,"HARVARD UNIVERSITY
PRESIDENT & FELLOWS",Massachusetts,UNITED STATES,12/19/2025,-,-,-,-,"Engineering tumor-targeting bacteria to sense and
deliver therapeutics",Bilateral Termination,-,36
NIH,K00CA264411,KCA264411B,"PRESIDENT AND FELLOWS
OF HARVARD COLLEGE",MASSACHUSETTS,UNITED STATES,6/6/2025,-,-,-,-,"Fibrotic remodeling of lymph nodes disrupts T cell
function in fibrosis and cancer",Bilateral Termination,-,36
NIH,K00CA274655,KCA274655B,"RUTGERS, THE STATE
UNIVERSITY OF NEW
JERSEY",New Jersey,UNITED STATES,2/12/2026,-,-,-,-,"Use and Impact of Quantitative Information in
Tobacco Risk Communications",Bilateral Termination,-,36
NIH,K00DA058260,KDA058260B,"ALBERT EINSTEIN COLLEGE
OF MEDICINE",New York,UNITED STATES,5/15/2025,-,-,-,-,"Ventral Pallidum Circuits in Motivation, Risky
Decision Making, and Opioid Addiction",Departmental Authority,-,36
NIH,K00DA059288,KDA059288B,VANDERBILT UNIVERSITY,TENNESSEE,UNITED STATES,5/12/2025,-,-,-,-,"Measuring effects of morphine withdrawal on
dopaminergic salience coding across the striatum",Departmental Authority,-,36
NIH,K00DA060571,KNS125819B,"BOSTON CHILDREN'S
HOSPITAL",MASSACHUSETTS,UNITED STATES,5/12/2025,-,-,-,-,"Characterizing enhancers regulating transcription
factor expression for cell-type specification across
neurodevelopment",Departmental Authority,-,36
NIH,K00DA060572,KNS120599B,Duke University,North Carolina,UNITED STATES,5/15/2025,-,-,-,-,Brain Network States Underlying Cocaine Craving,Departmental Authority,-,36
NIH,K00DC021644,KDC021644C,"UNIVERSITY OF SOUTHERN
CALIFORNIA",CALIFORNIA,UNITED STATES,6/12/2025,-,-,-,-,"Metabolic and Dietary Influences on Striatal
Contributions to Taste-motivated Behavior",Departmental Authority,-,36
NIH,K00ES036895,KNS124143B,"UNIVERSITY OF SOUTHERN
CALIFORNIA",CALIFORNIA,UNITED STATES,4/28/2025,-,-,-,-,"The ABCD Study and Brain Health: Navigating
Environmental Hazards and the Quest for
Neurodevelopmental Intersectional Health Equity",Departmental Authority,-,36
NIH,K00MH134248,KNS120523B,Trustees Of Boston University,Massachusetts,UNITED STATES,5/27/2025,-,-,-,-,"NE contributions to Lateral habenula control of action
evaluation under chronic stress",Departmental Authority,-,36
NIH,K00MH136687,KNS120544B,"UNIVERSITY OF PUERTO
RICO MED SCIENCES",PUERTO RICO,UNITED STATES,4/29/2025,-,-,-,-,"Ventral Pallidal Circuits Governing
Approach/Avoidance Conflict",Departmental Authority,-,36
NIH,K00MH138149,KNS129182B,UNIVERSITY OF MARYLAND,Maryland,UNITED STATES,1/21/2026,-,-,-,-,"Pinpointing the Cerebellum's Contribution to Social
Reward Processing",Bilateral Termination,-,36
NIH,K00MH138729,KNS120644B,"JOHNS HOPKINS
UNIVERSITY",Maryland,UNITED STATES,5/27/2025,-,-,-,-,"Tracking the dynamics of how schemas scaffold
recall",Departmental Authority,-,36
NIH,K00NS120365,KNS120365B,"CLEVELAND CLINIC LERNER
COM-CWRU",OHIO,UNITED STATES,8/26/2025,-,-,-,-,"Translating Genetic Risk Factors to Therapies: From
Big Data to Druggable Targets",Bilateral Termination,-,36
NIH,K01AG065440,KAG065440A,UNIVERSITY OF IOWA,IOWA,UNITED STATES,4/1/2025,-,-,-,-,"Creating Innovative Vaccine Messaging by Engaging
in Patient-Centered Design with Non-Vaccinating
Older Adults",Departmental Authority,-,36
NIH,K01AG070333,KAG070333A,UNIVERSITY OF FLORIDA,Florida,UNITED STATES,7/16/2025,-,-,-,-,"Behavioral and neural properties of spatial direction
comprehension in aging and amestic mild cognitive
impairment",Bilateral Termination,-,36
NIH,K01AG072049,KAG072049A,"UNIVERSITY OF
CALIFORNIA, LOS ANGELES",California,UNITED STATES,2/18/2026,-,-,-,-,"Experimental model of depression in aging: anxiety,
inflammation, and reward mechanisms",Bilateral Termination,-,36
NIH,K01AG080113,KAG080113A,"TUFTS UNIVERSITY
MEDFORD",MASSACHUSETTS,UNITED STATES,6/6/2025,-,-,-,-,"Impact of Structural Racism on Racial Disparities in
Cognitive Impairment",Departmental Authority,-,36
NIH,K01AG081454,KAG081454A,"COLUMBIA UNIVERSITY
HEALTH SCIENCES",NEW YORK,UNITED STATES,6/6/2025,-,-,-,-,"The role of adverse community-level policing
exposure on disparities in Alzheimers disease
related dementias and deleterious multidimensional
aging",Departmental Authority,-,36
NIH,K01AG083732,KAG083732A,"J.DAVID GLADSTONE
INSTITUTES",California,UNITED STATES,3/31/2026,-,-,-,-,"Machine Learning Approaches for Behavioral
Phenotyping of Humanized Knock-in Models of
Alzheimer's Disease",Bilateral Termination,-,36
NIH,K01AG086666,KAG086666A,WASHINGTON UNIVERSITY,Missouri,UNITED STATES,6/6/2025,-,-,-,-,"Racial Equity in Health Information Exchange and
Emergency Care Quality for Adults with Alzheimer's
Disease and Related Dementia",Departmental Authority,-,36
NIH,K01AR082432,KAR082432A,Duke University,North Carolina,UNITED STATES,2/12/2026,-,-,-,-,"Mechanism of epidermal coordination during
development and regeneration in zebrafish",Departmental Authority,-,36
NIH,K01DE033698,KDE033698A,"UNIVERSITY OF NORTH
CAROLINA AT CHAPEL HILL",NORTH CAROLINA,UNITED STATES,5/5/2025,-,-,-,-,"Real-world Evidence Study with Patient Input to
evaluate Treatment Effects in Trigeminal Neuralgia
(RESPITE-TN)",Departmental Authority,-,36
NIH,K01DK125616,KDK125616A,"JOHNS HOPKINS
UNIVERSITY",MARYLAND,UNITED STATES,3/10/2025,-,-,-,-,"Implementation research to improve the uptake of
influenza vaccination in CKD",Departmental Authority,-,36
NIH,K01HL151902,KHL151902A,BOSTON MEDICAL CENTER,MASSACHUSETTS,UNITED STATES,3/25/2025,-,-,-,-,"Assessing the burden of dementia in transgender
populations",Departmental Authority,-,36
NIH,K01HL151902,KHL151902A,BOSTON MEDICAL CENTER,MASSACHUSETTS,UNITED STATES,3/21/2025,-,-,-,-,"Assessing the burden of dementia in transgender
populations",Departmental Authority,-,36
NIH,K01HL155231,KHL155231A,WASHINGTON UNIVERSITY,MISSOURI,UNITED STATES,6/13/2025,-,-,-,$652.57,"Influence of Mycophenolic Acid Pharmacogenomics
on Lung Transplant Outcomes",Departmental Authority,-,37
NIH,K01HL155237,KHL155237A,"Massachusetts General
Hospital, The",Massachusetts,UNITED STATES,6/16/2025,-,-,-,-,"Multimodal quantitative PET/MR imaging of
pulmonary fibrosis",Departmental Authority,-,37
NIH,K01HL159032,KHL159032A,"UNIVERSITY OF MISSISSIPPI
MEDICAL CENTER",Mississippi,UNITED STATES,6/16/2025,-,-,-,-,"Platelet-mediated mechanisms of placental and
systemic hypercoagulability in preeclampsia",Departmental Authority,-,37
NIH,K01HL159038,KHL159038A,"NEW YORK MEDICAL
COLLEGE",New York,UNITED STATES,6/16/2025,-,-,-,-,"Role of SIN3a in the epigenetic regulation of the
Bone Morphogenetic Protein Receptor Type 2 in
pulmonary arterial hypertension",Departmental Authority,-,37
NIH,K01HL159046,KHL159046A,"UNIVERSITY OF
ROCHESTER",NEW YORK,UNITED STATES,6/13/2025,-,-,-,-,"Re-thinking the role of Peers And Training Patients
[RePeAT]",Departmental Authority,-,37
NIH,K01HL161026,KHL161026A,WASHINGTON UNIVERSITY,MISSOURI,UNITED STATES,6/13/2025,-,-,-,-,"Adapting and testing a deimplementation program in
the Intensive Care Unit",Departmental Authority,-,37
NIH,K01HL164760,KHL164760A,YALE UNIVERSITY,CONNECTICUT,UNITED STATES,6/16/2025,-,-,-,-,"Incarceration, Sleep Health, and Cardiovascular
Disease Risk",Departmental Authority,-,37
NIH,K01HL164874,KHL164874A,"TRUSTEES OF INDIANA
UNIVERSITY",Indiana,UNITED STATES,6/16/2025,-,-,-,-,"Regulation of UPRmt activation in the development
of pulmonary vascular remodeling in PAH",Departmental Authority,-,37
NIH,K01HL165271,KHL165271A,WAYNE STATE UNIVERSITY,Michigan,UNITED STATES,6/16/2025,-,-,-,-,"Identifying Mechanisms Involved in Hydroxyurea-
Mediated Reduction in Vaso-occlusive Adhesive
Events in Sickle Cell Disease",Departmental Authority,-,37
NIH,K01HL166369,KHL166369A,DUKE UNIVERSITY,NORTH CAROLINA,UNITED STATES,6/13/2025,-,-,-,-,"Sickle Cell Disease Functional Assessment
Validation and Exercise Pilot Intervention",Departmental Authority,-,37
NIH,K01HL166376,KHL166376A,"BRIGHAM AND WOMEN'S
HOSPITAL",MASSACHUSETTS,UNITED STATES,6/13/2025,-,-,-,-,"Sex chromosome gene regulatory networks and
COPD",Departmental Authority,-,37
NIH,K01HL166436,KHL166436B,"INDIANA UNIVERSITY
INDIANAPOLIS",INDIANA,UNITED STATES,6/13/2025,-,-,-,-,"Developing a Childhood Asthma Risk Passive Digital
Marker",Departmental Authority,-,37
NIH,K01HL169339,KHL169339A,Duke University,North Carolina,UNITED STATES,6/16/2025,-,-,-,-,"Predictors of Pain Severity and Pain-Related
Outcomes in Individuals with Sickle Cell Disease",Departmental Authority,-,37
NIH,K01HL169359,KHL169359A,ROCKEFELLER UNIVERSITY,New York,UNITED STATES,6/16/2025,-,-,-,-,"Dissecting the Mechanims of Platelet-Fibrin
interaction",Departmental Authority,-,37
NIH,K01HL169419,KHL169419A,"NEW YORK UNIVERSITY
MEDICAL CENTER",New York,UNITED STATES,6/16/2025,-,-,-,-,"Family-Centered Digital Behavioral Sleep
Intervention for Black Families of Preschool-Aged
Children",Departmental Authority,-,37
NIH,K01HL169491,KHL169491A,"LOUISIANA ST UNIV,
PENNINGTON BIOMEDICAL
RES CTR",Louisiana,UNITED STATES,6/16/2025,-,-,-,-,"Individualized Nutrition to Help Asthmatics Improve
Lung Function and Energetics (INHALE)",Departmental Authority,-,37
NIH,K01HL169493,KHL169493A,"Research Institute at
Nationwide`s Children`s
Hospital",Ohio,UNITED STATES,6/16/2025,-,-,-,-,"Development and Validation of an Equitable
Computable Phenotype for Classifying Pediatric
Sleep Deficiency in Electronic Health Records",Departmental Authority,-,37
NIH,K01HL169495,KHL169495A,"EMMA PENDLETON
BRADLEY HOSPITAL",Rhode Island,UNITED STATES,6/16/2025,-,-,-,-,"Development and implementation of a digital sleep
intervention for preschoolers in foster care",Departmental Authority,-,37
NIH,K01HL174822,KHL174822A,"Massachusetts General
Hospital, The",Massachusetts,UNITED STATES,6/16/2025,-,-,-,-,"Endothelial S1PR1 promotes lung repair in post-viral
ARDS",Departmental Authority,-,37
NIH,K01MH116737,KMH116737B,"FLORIDA STATE
UNIVERSITY",FLORIDA,UNITED STATES,3/21/2025,-,-,-,-,"COVID-19 Administrative Supplement to K01:
Adapting Pilot Testing a Behavioral Intervention to
Incorporate Advances in HIV Prevention for Black
Young MSM in Alabama",Departmental Authority,-,37
NIH,K01MH117142,KMH117142A,"UNIVERSITY OF
PITTSBURGH AT
PITTSBURGH",PENNSYLVANIA,UNITED STATES,3/21/2025,-,-,-,-,"Biological Mechanisms of Suicidal Behavior among
Sexual Minority Adolescents - Supplement",Departmental Authority,-,37
NIH,K01MH134764,KMH134764A,"WHITMAN-WALKER
INSTITUTE, INC.",DISTRICT OF COLUMBIA,UNITED STATES,3/21/2025,-,-,-,-,"Intersectional discrimination and linkage to HIV
prevention and care in transgender women in
Ecuador",Departmental Authority,-,37
NIH,K07AG076401,KAG076401A,MAYO CLINIC,Minnesota,UNITED STATES,2/17/2026,-,-,-,-,"Older Sexual Minority Patients with Serious Illness:
Program-Building to Identify and Address Needs",Bilateral Termination,-,37
NIH,K08AI155173,KAI155173A,"Massachusetts General
Hospital, The",Massachusetts,UNITED STATES,9/11/2025,-,-,-,-,"Relevance of Resistance Mutations for the
Susceptibility to Broadly Neutralizing Antibodies
Against HIV-1",Bilateral Termination,-,37
NIH,K12AR084217,KHD092535B,TUFTS UNIVERSITY BOSTON,MASSACHUSETTS,UNITED STATES,3/21/2025,-,-,-,-,"Supporting the Tufts BIRCWH Program with an
Additional Scholar Position",Departmental Authority,-,37
NIH,K12AR084230,KHD051959D,"BRIGHAM & WOMEN`S
HOSPITAL",Massachusetts,UNITED STATES,8/15/2025,-,-,-,-,"Hormones and Genes in Women's Health: From
Bench to Bedside",Termination for Cause,X,37
NIH,K12GM106997,KGM106997B,"UNIVERSITY OF
ROCHESTER",New York,UNITED STATES,6/10/2025,-,-,-,-,"IRACDA at Rochester Partnership to Advance
Research and Academic Careers in Deaf Scholars",Departmental Authority,-,37
NIH,K12HD103084,KHD103084A,STANFORD UNIVERSITY,CALIFORNIA,UNITED STATES,3/21/2025,-,-,-,-,"Stanford Women's Reproductive Health Research
Career Development Program",Departmental Authority,-,38
NIH,K22CA276631,KCA276631A,WASHINGTON UNIVERSITY,Missouri,UNITED STATES,9/22/2025,-,-,-,-,"Examining the Role of RNF168 Activity in BRCA1
Mutant Cancers",Bilateral Termination,-,38
NIH,K23DA053409,KDA053409A,"THE LELAND STANFORD
JUNIOR UNIVERSITY",California,UNITED STATES,3/11/2026,$1.00,-,-,$1.00,"Cannabis, Depression and Neurobiological Function
in Transition-Age Youth",Bilateral Termination,-,38
NIH,K23DA057416,KDA057416A,"UNIVERSITY OF NORTH
CAROLINA AT CHAPEL HILL",North Carolina,UNITED STATES,6/17/2025,-,-,-,-,"Development of a prototype for a mobile health
intervention for smoking cessation with features
culturally adapted for African American smokers",Departmental Authority,-,38
NIH,K23DA057499,KDA057499A,"ALBERT EINSTEIN COLLEGE
OF MEDICINE",New York,UNITED STATES,2/13/2026,-,-,-,-,"Analgesic-Behavioral and Neurophysiological
Correlates of Opioid-Sparing Spinal Anesthesia
Compared to General Anesthesia in Human Infants",Bilateral Termination,-,38
NIH,K23DK128572,KDK128572A,"JOHNS HOPKINS
UNIVERSITY",Maryland,UNITED STATES,4/10/2026,-,-,-,-,"An intervention to enhance hypoglycemia
communication and preventive action in primary care",Bilateral Termination,-,38
NIH,K23DK129827,KDK129827A,"CHILDREN'S HOSPITAL OF
PHILADELPHIA",Pennsylvania,UNITED STATES,2/27/2026,-,-,-,-,"Developing a patient-centered psychoeducational
tool to realize the potential of diabetes technologies",Bilateral Termination,-,38
NIH,K23DK134880,KDK134880A,"UNIVERSITY OF
CALIFORNIA, SAN DIEGO",California,UNITED STATES,3/10/2026,-,-,-,-,"Reducing Hyperinsulinemia and Insulin Resistance in
Type 1 Diabetes Using Adjunctive Therapies",Bilateral Termination,-,38
NIH,K23HD107184,KHD107184A,"DENVER HEALTH AND
HOSPITAL AUTHORITY",COLORADO,UNITED STATES,3/10/2025,-,-,-,-,"DIGITAL STORYTELLING TO REDUCE PEDIATRIC
INFLUENZA VACCINATION DISPARITIES: A PILOT
PRAGMATIC TRIAL",Bilateral Termination,-,38
NIH,K23HD111624,KHD111624A,"SEATTLE CHILDREN'S
HOSPITAL",WASHINGTON,UNITED STATES,3/10/2025,-,-,-,-,"IMPROVING VACCINE DELIVERY IN
HOSPITALIZED CHILDREN",Departmental Authority,-,38
NIH,K23HL148530,KHL148530A,"UNIVERSITY OF
CALIFORNIA, SAN DIEGO",California,UNITED STATES,3/31/2026,-,-,-,-,"Hypertension Self-management in Refugees Living
in San Diego",Bilateral Termination,-,38
NIH,K23MH129826,KMH129826A,"UNIVERSITY OF CALIFORNIA
LOS ANGELES",CALIFORNIA,UNITED STATES,9/18/2025,-,-,-,-,"Imaging transcriptomics across developmental
stages of early psychotic illness",Bilateral Termination,-,38
NIH,K23NS117736,KNS117736A,UNIVERSITY OF IOWA,Iowa,UNITED STATES,9/23/2025,-,-,-,-,"Investigating Autonomic Dysfunction as an Early
Pathologic Feature of Huntingtonâ€™s Disease",Bilateral Termination,-,38
NIH,K24DA037109,KDA037109D,OHIO STATE UNIVERSITY,Ohio,UNITED STATES,1/21/2026,-,-,-,-,"Advancing mHealth Technologies and Machine
Learning for Drug Abuse Research",Bilateral Termination,-,38
NIH,K24DA051328,KDA051328B,Columbia University,NEW YORK,UNITED STATES,3/12/2025,-,-,-,-,"Mentoring clinical investigators in patient-oriented
research on substance use and HIV",Departmental Authority,-,38
NIH,K25DK143375,KDK143375A,"CORNELL UNIVERSITY,
MEDICAL COLLEGE",New York,UNITED STATES,2/27/2026,-,-,-,-,"Super-Resolution Deep Learning Framework for
Enhanced ADPKD Monitoring via Multi-Sequence
Longitudinal MRI",Bilateral Termination,-,38
NIH,K43TW012850,KTW012850A,"HANOI MEDICAL
UNIVERSITY",N/A,VIETNAM,3/28/2025,-,-,-,-,"Adapting an evidence-based intervention to improve
HIV testing and PrEP uptake in Vietnam",Bilateral Termination,-,38
NIH,K99AG086335,KAG086335A,"SCRIPPS RESEARCH
INSTITUTE",CALIFORNIA,UNITED STATES,5/29/2025,-,-,-,-,"Functional interrogation of the role of PTP1B in
Alzheimer's disease pathophysiology and sleep",Departmental Authority,-,38
NIH,K99AG086525,KAG086525A,"UNIVERSITY OF
PENNSYLVANIA",Pennsylvania,UNITED STATES,5/27/2025,-,-,-,-,"Balancing Cellular Repair and Regeneration in Aging
and Disease",Departmental Authority,-,38
NIH,K99AG086538,KAG086538A,"HARVARD UNIVERSITY,
SCHOOL OF PUBLIC HEALTH",Massachusetts,UNITED STATES,2/24/2026,-,-,-,-,"Molecular profiles for mortality risk and longevity: a
multiomics approach",Bilateral Termination,-,38
NIH,K99AG088478,KAG088478A,"UNIVERSITY OF OKLAHOMA
HEALTH SCIENCES CENTER",Oklahoma,UNITED STATES,5/27/2025,-,-,-,-,"Non-invasive brain stimulation and neurovascular
mechanisms of post-stroke cognitive impairment",Departmental Authority,-,38
